// Half-Life Texture Types.  Modify this file only if texture names are changed!
//  'M' metal, 'V' ventillation, 'D' dirt, 'S' slosh liquid 
//  'T' tile, 'G' grate (Concrete is the default), 'W' wood, 'P' computer, 'Y' glass
// NOTE: only the first 12 characters of the texture name are used
// NOTE: a maximum of 512 textures may be tagged in this file

// Nightwatch Textures

G {CLYLABMETAL01C
G {GRATE1A
V {PRXDUCT10
V {PRXDUCT1P
V {PRXDUCT1Q
V {PRXDUCT1R
G {PRXFAN4B
G {PRXFAN4C
G {PRXLABFLR2
G {PRXLABFLR2A
G {PRXLABFLR2B
G {PRXLABFLR2C
G {PRXLABFLR2D
G {PRXLABFLR5B
M CLYLABMETAL01A
M CLYLABMETAL01B
M CLYLABMETAL02A
M CLYLABMETAL02B
M CLYLABMETAL02C
M CLYLABMETAL03A
M CLYLABPIPE01A
M CLYLABPIPE01B
M CLYLABPIPE02A
M CLYLABPIPE02B
M CLYLABPIPE03A
M CLYLABPIPE03B
M CLYLABPIPE03C
M CLYLABWALL01A
M CLYLABWALL01B
M CLYLABWALL01C
M CLYLABWALL01D
M CLYLABWALL01E
M CLYLABWALL01F
M CLYLABWALL01G
M CLYLABWALL01H
M CLYLABWALL01I
M CLYSILOWALL01
M CLYSILOWALL02
M CLYSILOWALL03
M CLYSILOWALL04
M CLYSILOWALL05
M CLYSILOWALL06
M CLYSILOWALL07
M CLYSILOWALL08
M GEN_DISK_SIDE_1
M GEN_DISK_SIDE_2
M GEN_DISK_SIDE_3
M GEN_DISK_SIDE_4
M GEN_DISK_SIDE_S
M GEN_DISK_SPIN
M GEN_DISK_TOP
M GEN_DISK_TOP2
O I2SNOW1
O I2SNOW2
M M_GEN_DISC1
M M_GEN_DISC2
M M_GEN_DISK3
M METAL-BLUE_SH
M METAL-YEL_SH
M MJSTWALL2
M MO_BUMP_FLOOR
M MO_SILO0
M MO_SILO1
M MO_SILO2
M MO_SILO3
M MO_SILO4
M MO_SILO5
M MO_SILO6
M MO_SILO7
M MO_SILO8
T MO_TILE_FLOOR
W PRXCRATE1A
W PRXCRATE1B
W PRXCRATE1C
W PRXCRATE1D
W PRXCRATE2A
W PRXCRATE2B
W PRXCRATE2C
M PRXDARKFLR1
M PRXDARKWALL1A
M PRXDARKWALL1B
V PRXDUCT1A
V PRXDUCT1B
V PRXDUCT1C
V PRXDUCT1D
V PRXDUCT1E
V PRXDUCT1F
V PRXDUCT1G
V PRXDUCT1H
V PRXDUCT1I
V PRXDUCT1J
V PRXDUCT1K
V PRXDUCT1L
V PRXDUCT1M
V PRXDUCT1N
T PRXFLR1A
T PRXFLR1B
T PRXFLR1C
T PRXFLR1D
T PRXFLR2
T PRXFLR2A
T PRXFLR2B
T PRXFLR3A
T PRXFLR4A
T PRXFLR4B
T PRXFLR4C
T PRXFLR4D
T PRXFLR4E
T PRXFLR4F
T PRXFLR5A
T PRXFLR5B
G PRXGRATE1A
D PRXJUNGLEFLR1
D PRXJUNGLEFLR2
D PRXJUNGLEFLR3
D PRXJUNGLEFLR4
T PRXLABFLR1A
T PRXLABFLR1B
T PRXLABFLR1C
T PRXLABFLR1D
G PRXLABFLR2
G PRXLABFLR2A
G PRXLABFLR2B
G PRXLABFLR2C
T PRX_LABFLR3A
